NO.,Storage Location,Lot_ID,Re-Code,Material,Material Description,Base Unit of Measure,Intake Vol (kg),Remain Vol (kg),Pkg Vol,Date of Manufacture,Expire Date,Batch prepare (KG.)
126,SPP,lot-2026-01-27-126,,1216450241200073,Frozen Orange Pulp,KG,157.322,157.322,0,19/2/2025 ,19/2/2027 ,
127,FH,lot-2026-01-27-127,,1216450241200074,Cloudy SC4,KG,400,400,0,10/7/2025 ,9/7/2027 ,0.5
128,FH,lot-2026-01-27-128,,1216450241200074,Cloudy SC4,KG,107.894,107.894,0,19/3/2025 ,18/3/2027 ,0.5
129,FH,lot-2026-01-27-129,,1216450241200075,Peach Flavour Firmenich 050001 R10060,KG,16.926,16.926,0,26/8/2025 ,26/8/2026 ,5.4
130,FH,lot-2026-01-27-130,,1216450241200075,Peach Flavour Firmenich 050001 R10060,KG,25,25,0,26/8/2025 ,26/8/2026 ,5.4
131,FH,lot-2026-01-27-131,,1216450241200076,Peach Flavour Jean Niel TF65195,KG,100,100,0,9/12/2025 ,9/12/2026 ,5.4
132,FH,lot-2026-01-27-132,,1216450241200076,Peach Flavour Jean Niel TF65195,KG,75,75,0,6/8/2025 ,6/8/2026 ,5.4
133,FH,lot-2026-01-27-133,,1216450241200076,Peach Flavour Jean Niel TF65195,KG,94.21,94.21,0,19/9/2025 ,19/9/2026 ,5.4
134,FH,lot-2026-01-27-134,,1216450241200076,Peach Flavour Jean Niel TF65195,KG,100,100,0,28/10/2025 ,28/10/2026 ,5.4
135,FH,lot-2026-01-27-135,,1216450241200076,Peach Flavour Jean Niel TF65195,KG,50,50,0,6/6/2025 ,6/6/2026 ,5.4
136,SPP,lot-2026-01-27-136,,1216450241200080,Frozen Dice Orange Peel,KG,201,201,0,2/6/2025 ,1/6/2026 ,
137,SPP,lot-2026-01-27-137,,1216450241200084,Frozen Pomegranate Concentrate (DKSH),KG,658.334,658.334,0,28/5/2024 ,28/5/2026 ,
138,FH,lot-2026-01-27-138,,1216450241200085,Pineapple Flavor Mane E23030086,KG,557.142,557.142,0,21/5/2025 ,21/5/2026 ,5.4
139,SPP,lot-2026-01-27-139,,1216450241200086,Frozen Blueberry Concentrate (IFI),KG,197.88,197.88,0,21/3/2025 ,21/3/2027 ,
140,SPP,lot-2026-01-27-140,,1216450241200086,Frozen Blueberry Concentrate (IFI),KG,9.154,9.154,0,22/8/2024 ,22/8/2026 ,
141,FH,lot-2026-01-27-141,,1216450241200087,Blueberry Flavour Roberte 54220,KG,84.874,84.874,0,10/4/2025 ,10/4/2026 ,5.4
142,FH,lot-2026-01-27-142,,1216450241200088,Blueberry Flavour Jean Niel TF00115,KG,96.022,96.022,0,29/4/2025 ,29/10/2026 ,5.4
143,SPP,lot-2026-01-27-143,,1216450241200089,Frozen Grape Concentrate,KG,189.51,189.51,0,18/12/2024 ,17/12/2026 ,
144,FH,lot-2026-01-27-144,,1216450241200090,Firmenich Signature Grape F72T827,KG,144.936,144.936,0,10/3/2025 ,10/3/2026 ,5.4
145,FH,lot-2026-01-27-145,,1216450241200090,Firmenich Signature Grape F72T827,KG,50,50,0,18/10/2024 ,18/5/2026 ,5.4
146,FH,lot-2026-01-27-146,,1216450241200091,Jean Niel Grape TF67550,KG,145.572,145.572,0,28/4/2025 ,28/4/2026 ,5.4
147,SPP,lot-2026-01-27-147,,1216450241200092,Frozen Passion Fruit Puree,KG,285,285,0,24/4/2025 ,24/4/2027 ,
148,SPP,lot-2026-01-27-148,,1216450241200092,Frozen Passion Fruit Puree,KG,45,45,0,19/10/2024 ,19/10/2026 ,
149,SPP,lot-2026-01-27-149,,1216450241200092,Frozen Passion Fruit Puree,KG,74.964,74.964,0,24/11/2025 ,24/5/2027 ,
150,FH,lot-2026-01-27-150,,1216450241200093,Jean Niel Passion Fruit  TF53958,KG,25,25,0,12/6/2025 ,12/12/2026 ,5.4
151,FH,lot-2026-01-27-151,,1216450241200093,Jean Niel Passion Fruit  TF53958,KG,25,25,0,11/7/2025 ,11/7/2026 ,5.4
152,FH,lot-2026-01-27-152,,1216450241200093,Jean Niel Passion Fruit  TF53958,KG,0.204,0.204,0,4/4/2025 ,4/4/2026 ,5.4
153,FH,lot-2026-01-27-153,,1216450241200093,Jean Niel Passion Fruit  TF53958,KG,24.718,24.718,0,11/5/2025 ,11/5/2026 ,5.4
154,SPP,lot-2026-01-27-154,,1216450241200094,Frozen Pineapple Juice Concentrate,KG,250,250,0,5/8/2025 ,5/8/2026 ,
155,SPP,lot-2026-01-27-155,,1216450241200094,Frozen Pineapple Juice Concentrate,KG,720,720,0,8/1/2025 ,22/12/2026 ,
156,SPP,lot-2026-01-27-156,,1216450241200094,Frozen Pineapple Juice Concentrate,KG,780,780,0,22/12/2025 ,22/12/2026 ,
157,FH,lot-2026-01-27-157,,1216450241200095,Pineapple Flavor IFF TH828995,KG,30,30,0,3/6/2025 ,3/6/2026 ,5.4
158,FH,lot-2026-01-27-158,,1216450241200095,Pineapple Flavor IFF TH828995,KG,840,840,0,25/6/2025 ,25/6/2026 ,5.4
159,FH,lot-2026-01-27-159,,1216450241200095,Pineapple Flavor IFF TH828995,KG,40,40,0,6/3/2025 ,6/3/2026 ,5.4
160,FH,lot-2026-01-27-160,,1216450241200095,Pineapple Flavor IFF TH828995,KG,40,40,0,14/5/2025 ,14/5/2026 ,5.4
161,SPP,lot-2026-01-27-161,,1216450241200104,Elderflower Extract Powder,KG,20,20,0,26/10/2024 ,26/10/2026 ,
162,SPP,lot-2026-01-27-162,,1216450241200104,Elderflower Extract Powder,KG,13.974,13.974,0,25/4/2023 ,24/4/2026 ,
163,SPP,lot-2026-01-27-163,,1216450241200108,Raspberry Powder,KG,25.36,25.36,0,13/11/2024 ,12/11/2027 ,
164,SPP,lot-2026-01-27-164,,1216450241200113,Mixed Berry Concentrate,KG,30.064,30.064,0,5/6/2025 ,5/6/2027 ,
