NO.,Storage Location,Lot_ID,Re-Code,Material,Material Description,Base Unit of Measure,Intake Vol (kg),Remain Vol (kg),Pkg Vol,Date of Manufacture,Expire Date,Batch prepare (KG.)
59,FH,lot-2026-01-27-059,,1216450241000128,FRUIT PUNCH FLAVOUR TF68104,KG,50,50,0,26/8/2025 ,26/8/2026 ,5.4
60,FH,lot-2026-01-27-060,,1216450241000130,BROWN SUGAR FLAVOUR RP240009,KG,1.88,1.88,0,3/9/2024 ,3/11/2025 ,5.4
61,FH,lot-2026-01-27-061,,1216450241000141,"SWEET MODULATION TH-7439, 20kg/Drum",KG,300,300,0,21/7/2025 ,21/7/2026 ,5.4
62,FH,lot-2026-01-27-062,,1216450241000142,"CLASSIC CARAMEL FLAVOUR CR-02,25 Kg/Drum",KG,100,100,0,7/10/2025 ,7/10/2026 ,5.4
63,FH,lot-2026-01-27-063,,1216450241000142,"CLASSIC CARAMEL FLAVOUR CR-02,25 Kg/Drum",KG,69,69,0,3/9/2025 ,3/9/2026 ,5.4
64,FH,lot-2026-01-27-064,,1216450241000144,"FRESH MINT FLAVOUR 7.64476, 25 Kg/Drum",KG,3.286,3.286,0,19/11/2025 ,19/5/2026 ,0.5
65,FH,lot-2026-01-27-065,,1216450241000145,"Muscat Flavor 592738 C, 25 Kg/Drum",KG,25,25,0,27/9/2028 ,27/9/2026 ,5.4
66,FH,lot-2026-01-27-066,,1216450241100007,Caramel Flavour CR-02.,KG,94,94,0,14/10/2025 ,14/10/2026 ,5.4
67,FH,lot-2026-01-27-067,,1216450241100026,Sugar Flavour SG-01.,KG,200,200,0,24/10/2025 ,24/10/2026 ,5.4
68,FH,lot-2026-01-27-068,,1216450241100026,Sugar Flavour SG-01.,KG,17.56,17.56,0,2/6/2025 ,2/6/2026 ,5.4
68,FH,lot-2026-01-27-069,,1216450241100026,Sugar Flavour SG-01.,KG,100,100,0,19/7/2025 ,19/7/2026 ,5.4
70,FH,lot-2026-01-27-070,,1216450241200002,Strawberry Flavour ST-01.,KG,29.738,29.738,0,1/10/2024 ,24/4/2026 ,5.4
71,SPP,lot-2026-01-27-071,,1216450241200008,"Coconut Water Powder, 25 kgs/drum.",KG,3395.934,3395.934,0,2/9/2025 ,1/8/2027 ,
72,SPP,lot-2026-01-27-072,,1216450241200008,"Coconut Water Powder, 25 kgs/drum.",KG,100,100,0,15/10/2025 ,14/9/2027 ,
73,SPP,lot-2026-01-27-073,,1216450241200009,Strawberry Juice Concentrate.,KG,578,578,0,5/12/2024 ,5/12/2026 ,
74,SPP,lot-2026-01-27-074,,1216450241200009,Strawberry Juice Concentrate.,KG,40,40,0,5/7/2024 ,5/7/2026 ,
75,FH,lot-2026-01-27-075,,1216450241200023,Melon Flavour ML-01.,KG,44.578,44.578,0,27/11/2024 ,27/5/2026 ,5.4
76,FH,lot-2026-01-27-076,,1216450241200038,Coconut Flavour CN-01.,KG,1790,1790,0,4/8/2025 ,4/8/2026 ,5.4
77,FH,lot-2026-01-27-077,,1216450241200038,Coconut Flavour CN-01.,KG,1600,1600,0,19/9/2025 ,19/9/2026 ,5.4
78,FH,lot-2026-01-27-078,,1216450241200039,Lychee Flavour LC-01.,KG,225,225,0,17/12/2025 ,16/12/2026 ,5.4
79,FH,lot-2026-01-27-079,,1216450241200039,Lychee Flavour LC-01.,KG,13.55,13.55,0,19/8/2025 ,18/8/2026 ,5.4
80,FH,lot-2026-01-27-080,,1216450241200040,YOUNG COCONUT FLAVOUR 752625.,KG,637.5,637.5,0,2/9/2025 ,28/8/2026 ,5.4
81,FH,lot-2026-01-27-081,,1216450241200041,Blue Curacao Flavor BC-01.,KG,13.834,13.834,0,10/3/2025 ,10/3/2026 ,5.4
82,FH,lot-2026-01-27-082,,1216450241200041,Blue Curacao Flavor BC-01.,KG,49.572,49.572,0,31/12/2024 ,5/7/2026 ,5.4
83,SPP,lot-2026-01-27-083,,1216450241200042,Lychee Juice Concentrate.,KG,1762.75,1762.75,0,6/2/2025 ,5/2/2027 ,
84,SPP,lot-2026-01-27-084,,1216450241200044,"Melon Powder, 20 kgs/pack.",KG,,,0,,,
